stt,d_mea,d_kalman,
1,213.5,213.5,273.5055184
2,219.2,214.93,284.19
3,205,212.94,
4,206.3,211.83,
5,211.6,211.8,
6,205.6,211.03,
7,195.2,209.27,
8,237.1,212.05,
9,249.5,215.45,
10,216.5,215.54,
11,246.9,217.95,
12,262.9,221.16,
13,274.3,224.71,
14,337.3,231.74,
15,351.4,238.78,
16,314.5,242.99,
17,320.2,247.05,
18,350.2,252.21,
19,332.8,256.05,
20,319,258.91,
21,297.4,260.58,
22,271,261.02,
23,294.2,262.34,
24,210,260.33,
25,256.8,260.2,
26,217.7,258.68,
27,215.1,257.18,
28,259.9,257.27,
29,307.6,258.89,
30,303.3,260.28,
31,280.8,260.9,
32,277.7,261.4,
33,302.1,262.56,
34,297.2,263.52,
35,286.3,264.14,
36,301.7,265.13,
37,309.5,266.26,
38,321.5,267.64,
39,349.4,269.64,
40,306.9,270.53,
41,288.4,270.94,
42,268.2,270.88,
43,278.5,271.05,
44,250.7,270.61,
45,286.7,270.95,
46,275.5,271.04,
47,277.8,271.18,
48,273.7,271.23,
49,277.6,271.36,
50,305.2,272.01,
51,261.4,271.81,
52,317.1,272.65,
53,255.6,272.34,
54,294.8,272.74,
55,251.4,272.36,
56,262.2,272.19,
57,300.4,272.67,
58,255.6,272.38,
59,279.7,272.5,
60,277,272.57,
61,258.5,272.35,
62,247.1,271.96,
63,277.7,272.04,
64,274.9,272.09,
65,294.4,272.42,
66,298.5,272.8,
67,315.5,273.42,
68,270.1,273.38,
69,275.7,273.41,
70,298.8,273.76,
71,259.9,273.57,
72,255.2,273.32,
73,258.4,273.12,
74,315.7,273.68,
75,256.5,273.46,
76,292.3,273.7,
77,301,274.05,
78,336.2,274.82,
79,309.6,275.25,
80,290.5,275.44,
81,270.3,275.38,
82,280.6,275.44,
83,302.9,275.76,
84,306.5,276.12,
85,275.3,276.11,
86,285.3,276.22,
87,267.1,276.11,
88,328.2,276.69,
89,261.2,276.52,
90,340.3,277.22,
91,294.1,277.4,
92,303,277.67,
93,274.7,277.64,
94,272,277.58,
95,322.4,278.04,
96,310.3,278.37,
97,261.2,278.2,
98,341.7,278.83,
99,320.1,279.24,
100,320.1,279.64,
101,322.8,280.06,
102,292,280.17,
103,277.2,280.15,
104,321.2,280.53,
105,319.2,280.9,
106,291,280.99,
107,292.5,281.09,
108,294.9,281.22,
109,270.6,281.12,
110,319.8,281.47,
111,312.5,281.74,
112,289.5,281.81,
113,280.4,281.8,
114,268.9,281.69,
115,265.5,281.55,
116,308.6,281.78,
117,296.9,281.91,
118,283.4,281.92,
119,305.2,282.11,
120,295.4,282.22,
121,292,282.3,
122,291.2,282.37,
123,277.6,282.33,
124,315.3,282.6,
125,279.3,282.57,
126,276.4,282.52,
127,264.4,282.38,
128,258.4,282.2,
129,271.1,282.11,
130,281.9,282.11,
131,285.7,282.14,
132,286.5,282.17,
133,296.9,282.28,
134,337.2,282.68,
135,309.1,282.88,
