,d_mea,d_kalman,
1,1025.9,1025.9,1032.108192
2,1054.3,1033,1070.82
3,1074.8,1041.36,
4,1061.2,1044.67,
5,1042.9,1044.41,
6,1108.3,1052.4,
7,1104.4,1058.18,
8,1108.9,1063.25,
9,1138.3,1070.07,
10,1063.4,1069.52,
11,883.3,1055.19,
12,958,1048.25,
13,897.1,1038.17,
14,1024.6,1037.33,
15,1041.3,1037.56,
16,1031.3,1037.21,
17,1039.8,1037.35,
18,1081.2,1039.54,
19,1103.1,1042.57,
20,1089.3,1044.69,
21,1103.8,1047.26,
22,1025.6,1046.36,
23,921.2,1041.35,
24,845,1033.8,
25,886.5,1028.34,
26,1005.7,1027.54,
27,896.5,1023.02,
28,883.3,1018.36,
29,887.7,1014.15,
30,1043.5,1015.06,
31,969.1,1013.67,
32,1172,1018.33,
33,1149.7,1022.08,
34,1050.4,1022.87,
35,1150.9,1026.33,
36,1078.5,1027.7,
37,922.2,1024.99,
38,874.1,1021.22,
39,798.1,1015.78,
40,935,1013.86,
41,848.2,1010,
42,897.4,1007.45,
43,903.5,1005.14,
44,875.6,1002.32,
45,875.3,999.62,
46,901.6,997.58,
47,835.7,994.27,
48,1134.7,997.08,
49,1032.8,997.78,
50,970.2,997.25,
51,911.9,995.64,
52,918.6,994.21,
53,859.2,991.76,
54,884.7,989.85,
55,933.5,988.86,
56,913.3,987.56,
57,871.7,985.59,
58,948.6,984.98,
59,1074,986.43,
60,1094.8,988.18,
61,1019.3,988.68,
62,1058.7,989.77,
63,1035.4,990.47,
64,1058,991.5,
65,1051.7,992.39,
66,997.7,992.47,
67,1022.5,992.91,
68,949.3,992.28,
69,941.3,991.57,
70,943.5,990.9,
71,966.5,990.56,
72,961.9,990.18,
73,976.7,990,
74,1012.8,990.3,
75,1000.1,990.42,
76,999.5,990.54,
77,980.1,990.41,
78,944.8,989.84,
79,988.3,989.82,
80,921.6,988.99,
81,879.1,987.66,
82,875.4,986.33,
83,910.9,985.44,
84,899.9,984.45,
85,914.6,983.64,
86,920.4,982.92,
87,934.7,982.38,
88,918.1,981.67,
89,927.7,981.07,
90,993.8,981.21,
91,1076.9,982.24,
92,1101.9,983.51,
93,1105.6,984.8,
94,1115,986.16,
95,1109.1,987.42,
96,1154.9,989.13,
97,1046.9,989.72,
98,1126.9,991.09,
99,1125.4,992.42,
100,1105.5,993.53,
101,1079.3,994.36,
102,1141.1,995.77,
103,1173.7,997.46,
104,1168.8,999.08,
105,1066.4,999.71,
106,1113.7,1000.77,
107,1096.4,1001.64,
108,1070.5,1002.27,
109,1091.9,1003.08,
110,1148.5,1004.37,
111,1107.8,1005.29,
112,1130.7,1006.39,
113,1111.5,1007.3,
114,1135.2,1008.41,
115,1137.4,1009.51,
116,1088.6,1010.18,
117,1155.4,1011.4,
118,1142.6,1012.49,
119,1124.6,1013.42,
120,1138.1,1014.44,
121,1130.3,1015.38,
122,1089.5,1015.98,
123,1102.4,1016.67,
124,1093.6,1017.28,
125,1094.2,1017.89,
126,1052.6,1018.16,
127,1080.5,1018.64,
128,1067.2,1019.02,
129,1099.5,1019.63,
130,1097.3,1020.22,
131,1123,1020.99,
132,1112.6,1021.68,
133,1125.4,1022.44,
134,1108.8,1023.08,
135,1108.9,1023.71,
136,1141.2,1024.56,
137,1137.4,1025.37,
138,1103.6,1025.93,
139,1146.1,1026.78,
140,1124.1,1027.47,
141,1132,1028.2,
