,d,
1,49,49
2,49.1,49
3,53.1,49.8
4,53.6,50.5
5,53,50.8
6,51.8,51
7,52,51.1
8,50.8,51
9,53,51.2
10,52.2,51.3
11,51.3,51.3
12,53.2,51.4
13,51,51.4
14,51.2,51.4
15,51.5,51.4
16,52.6,51.5
17,51.3,51.5
18,55,51.6
19,55,51.8
20,49.3,51.7
21,49.1,51.6
22,55.2,51.7
23,50.3,51.7
24,49.7,51.6
25,51.7,51.6
26,54.4,51.7
27,54.5,51.8
28,50.2,51.7
29,49.5,51.7
30,50.5,51.6
31,50,51.6
32,58.3,51.8
33,49.1,51.7
34,52,51.7
35,50.6,51.7
36,52.1,51.7
37,52.1,51.7
38,48.1,51.6
39,52.1,51.6
40,52.2,51.6
41,56.8,51.8
42,54.6,51.8
43,54,51.9
44,47.8,51.8
45,53.1,51.8
46,51.2,51.8
47,51.6,51.8
48,49.4,51.7
49,50.3,51.7
50,48.1,51.6
51,55.6,51.7
52,53.7,51.8
53,52.7,51.8
54,49.8,51.7
55,53.9,51.8
56,50.3,51.8
57,53.9,51.8
58,48.5,51.7
59,54.1,51.8
60,54.2,51.8
61,50.3,51.8
62,52.6,51.8
63,54.3,51.8
64,52.5,51.8
65,51.9,51.8
66,49.6,51.8
67,54.4,51.9
68,52.1,51.9
69,51.1,51.8
70,51.2,51.8
71,50,51.8
72,54,51.8
73,49.6,51.8
74,51.6,51.8
75,52.2,51.8
76,55.7,51.9
77,49.2,51.8
78,54.3,51.9
79,51.6,51.9
80,54.6,51.9
81,52,51.9
82,50.7,51.9
83,49.9,51.9
84,54.9,51.9
85,49.8,51.9
86,51.1,51.9
87,49.9,51.8
88,53.5,51.9
89,50.7,51.8
90,53.7,51.9
91,45.4,51.8
92,51.7,51.8
93,48.5,51.8
94,54.3,51.8
95,54.9,51.8
96,52.9,51.8
97,52.3,51.8
98,51.2,51.8
99,57.6,51.9
100,51.7,51.9
101,54.1,51.9
102,53.9,51.9
103,56,52
104,49.6,51.9
105,51.4,51.9
106,48.8,51.9
107,56.5,51.9
108,59.3,52
109,51.9,52
110,48.9,52
111,51.8,52
112,50,52
113,49.9,51.9
114,51,51.9
115,54.5,52
116,51.4,52
117,54.2,52
118,53.4,52
119,56.7,52
120,51.1,52
121,53.4,52
122,55,52.1
123,49.8,52
124,55,52.1
125,52.8,52.1
126,51.6,52.1
127,49.6,52
128,53.1,52
129,52.1,52.1
130,49,52
131,52.1,52
132,51.6,52
133,52.2,52
134,57.2,52.1
135,51.7,52.1
136,51.7,52.1
137,57.4,52.1
138,50.9,52.1
139,49.9,52.1
140,50.1,52.1
141,52,52.1
142,52.4,52.1
143,53.3,52.1
144,47.7,52
145,50.8,52
146,47.5,52
147,50,52
148,54.3,52
149,49.9,52
150,50.8,52
151,51.8,52
152,50.6,52
153,47.3,51.9
154,51.6,51.9
155,52.4,51.9
156,51.9,51.9
157,53.4,52
158,53.1,52
159,50.9,52
160,52.2,52
161,53.5,52
162,51.6,52
163,52.8,52
164,52,52
165,55.8,52
166,54.5,52
167,55.5,52
168,56.9,52.1
169,51.4,52
170,54.3,52.1
171,52.7,52.1
172,55.9,52.1
173,55.3,52.1
174,55.6,52.1
175,57.5,52.2
176,53.1,52.2
177,54.5,52.2
178,54.2,52.2
179,57.8,52.2
180,59,52.3
181,54,52.3
182,56.4,52.3
183,55,52.3
184,55.6,52.3
185,54.5,52.3
186,55.1,52.3
187,55.2,52.4
188,59,52.4
189,55.3,52.4
190,56.5,52.4
191,57.1,52.5
192,51.1,52.4
193,55.4,52.5
194,56.9,52.5
195,56,52.5
196,57.2,52.5
197,58.5,52.6
198,56.5,52.6
199,52.8,52.6
200,55.2,52.6
201,52.3,52.6
202,55.6,52.6
203,57.9,52.6
204,50.8,52.6
205,51.1,52.6
206,53.1,52.6
207,49.3,52.6
208,55.1,52.6
209,54.7,52.6
210,52.6,52.6
211,51.8,52.6
212,49.2,52.6
213,57.1,52.6
214,52.7,52.6
215,51.7,52.6
216,56.3,52.6
217,48,52.6
218,60.4,52.7
219,48.6,52.6
220,56.3,52.6
221,59.3,52.7
222,53.3,52.7
223,55.9,52.7
224,50.9,52.7
225,50.1,52.7
226,48.1,52.7
227,48.6,52.6
228,49,52.6
229,53.6,52.6
230,58.2,52.7
231,51.1,52.6
232,55,52.7
233,52.9,52.7
234,55.1,52.7
235,44.9,52.6
236,52.5,52.6
237,54.3,52.6
238,50.7,52.6
239,55.1,52.6
240,47.1,52.6
241,56.9,52.6
242,48.1,52.6
243,45,52.6
244,47.3,52.6
245,57.1,52.6
246,54.1,52.6
247,51.5,52.6
248,56.9,52.6
249,56.1,52.6
250,53.3,52.6
251,55.8,52.6
252,54.5,52.6
253,58,52.7
254,50.6,52.7
255,54.1,52.7
256,56.3,52.7
257,52.3,52.7
258,48.1,52.7
259,55,52.7
260,51.7,52.7
261,49.8,52.6
262,54.2,52.7
263,52,52.7
264,48.9,52.6
265,53.3,52.6
266,49.1,52.6
267,54.7,52.6
268,51.2,52.6
269,49.1,52.6
270,55.9,52.6
271,52,52.6
272,47.3,52.6
273,52.8,52.6
274,49.4,52.6
275,54.4,52.6
276,53.6,52.6
277,53.4,52.6
278,48.8,52.6
279,52.6,52.6
280,50.7,52.6
281,51.3,52.6
282,52.7,52.6
283,48.7,52.6
284,47.4,52.6
285,54.7,52.6
286,50,52.6
287,48.6,52.5
288,49.8,52.5
289,52.3,52.5
290,50.9,52.5
291,48.9,52.5
292,48.2,52.5
293,48.2,52.5
294,54.8,52.5
295,51,52.5
296,48.7,52.5
297,53.2,52.5
298,50.4,52.5
299,52.6,52.5
300,49.1,52.5
301,51,52.4
302,53.9,52.5
303,55,52.5
304,48.5,52.4
305,50.9,52.4
306,52.3,52.4
307,53.8,52.4
308,52.5,52.4
309,54.6,52.5
310,55.6,52.5
311,53.5,52.5
312,52.5,52.5
313,53.8,52.5
314,53.5,52.5
315,52.3,52.5
316,52.7,52.5
317,51.4,52.5
318,51,52.5
319,54.5,52.5
320,55.3,52.5
321,52.6,52.5
322,53,52.5
323,52.5,52.5
324,53.4,52.5
325,52.1,52.5
326,52,52.5
327,53.9,52.5
328,48.8,52.5
329,51,52.5
330,52.2,52.5
331,54.1,52.5
332,52.8,52.5
333,53.2,52.5
334,52,52.5
335,52.9,52.5
336,55.1,52.5
337,53.3,52.5
338,53.2,52.5
339,53,52.5
340,55.9,52.5
341,52.2,52.5
342,55.5,52.5
343,54.9,52.5
344,54.8,52.5
345,51.5,52.5
346,55.3,52.5
347,55.7,52.5
348,55.5,52.5
349,57.9,52.6
350,52.9,52.6
351,49.7,52.6
352,55.4,52.6
353,53.5,52.6
354,53.5,52.6
355,55.7,52.6
356,49.1,52.6
357,54.4,52.6
358,53.8,52.6
359,53,52.6
360,51.2,52.6
361,55.9,52.6
362,50.2,52.6
363,53,52.6
364,54.6,52.6
365,57.4,52.6
366,56,52.6
367,56.1,52.6
368,53.5,52.6
369,57.4,52.6
370,50.9,52.6
371,53.6,52.6
372,59,52.6
373,51,52.6
374,56.1,52.7
375,57.8,52.7
376,53.1,52.7
377,53.9,52.7
378,57.8,52.7
379,52.8,52.7
380,53.6,52.7
381,56.7,52.7
382,51.2,52.7
383,50.3,52.7
384,55.4,52.7
385,57.7,52.7
386,55.8,52.7
387,53.9,52.7
388,53.4,52.7
389,54.1,52.7
390,53.7,52.7
391,52.4,52.7
392,49.6,52.7
393,50.1,52.7
394,52.7,52.7
395,53.7,52.7
396,52.7,52.7
397,53.3,52.7
398,51.4,52.7
399,47.7,52.7
400,50,52.7
