stt,d_mea1,d_kalman1,d_mea2,d_kalman2,d_mea3,d_kalman3,d_mea4,d_kalman4,d_mea5,d_kalman5,d_mea6,d_kalman6,d_mea7,d_kalman7
1,49,49,94.3,94.3,192.6,192.6,300.1,300.1,509.6,511,1037.7,1037.7,1535.2,1535.2
2,49.1,49,94.2,94.3,195.3,193.3,302.7,300.8,515.8,516.3,1046.3,1039.8,1558.4,1541
3,53.1,49.8,97.4,94.9,194.5,193.5,300.7,300.7,505.4,513.8,1038.4,1039.6,1529.5,1538.7
4,53.6,50.5,97.8,95.4,193.3,193.5,303.4,301.2,512.3,519.7,1067.8,1044.3,1524,1536.3
5,53,50.8,95.8,95.4,196.7,193.9,300,301,516,517.8,1098.7,1052,1522.2,1534.2
6,51.8,51,95.5,95.4,204.3,195.2,301.3,301,512,518.3,1064.9,1053.7,1535.8,1534.4
7,52,51.1,91.8,95,194.9,195.2,304.3,301.4,511.9,519.2,1070.1,1055.5,1532.7,1534.2
8,50.8,51,95.8,95.1,200.9,195.8,301.9,301.5,509.9,518.6,1037,1053.6,1534.3,1534.3
9,53,51.2,98.4,95.4,199.4,196.1,298.6,301.2,514.2,518.9,1035.5,1052,1533.1,1534.1
10,52.2,51.3,97,95.5,199.3,196.4,304.7,301.5,512.4,519.1,1070.9,1053.6,1538.5,1534.5
11,51.3,51.3,96,95.6,196.6,196.4,301.6,301.5,508.4,519.2,1102.6,1057.3,1539.3,1534.9
12,53.2,51.4,96.8,95.7,197.6,196.5,302.9,301.6,515.9,521.7,1041.6,1056.2,1535.2,1534.9
13,51,51.4,97.2,95.8,194.7,196.4,301.3,301.6,516.7,520.6,1040.6,1055.2,1531.5,1534.7
14,51.2,51.4,97.2,95.9,195.7,196.3,301.4,301.6,514.4,520.6,1046.6,1054.6,1536.9,1534.8
15,51.5,51.4,100.2,96.1,193.8,196.2,302.8,301.6,515,521.1,1038.5,1053.7,1533.7,1534.7
16,52.6,51.5,99.7,96.3,197.4,196.2,301.5,301.6,509.3,519.9,1040,1052.9,1536.4,1534.8
17,51.3,51.5,98.2,96.4,192.3,196,301.8,301.6,515.6,519.3,1047.3,1052.6,1535.1,1534.9
18,55,51.6,99.4,96.6,196,196,299.5,301.5,512.9,519,1031.9,1051.6,1538.5,1535
19,55,51.8,94.9,96.5,195.3,196,299.5,301.4,505.5,518.5,1040.3,1051.1,1538.5,1535.2
20,49.3,51.7,92.5,96.3,197.6,196.1,304.9,301.6,512.5,517.8,1040.2,1050.6,1538.8,1535.4
21,49.1,51.6,96.5,96.3,195.8,196.1,303.8,301.7,516,517.2,1034.6,1049.9,1535.1,1535.4
22,55.2,51.7,100.4,96.5,196.2,196.1,302,301.7,516.8,517.3,1032.1,1049.1,1542.8,1535.7
23,50.3,51.7,94.6,96.4,194.5,196,303.5,301.8,513.6,517.6,1076.9,1050.2,1534.2,1535.6
24,49.7,51.6,94.8,96.3,193.7,195.9,302.9,301.8,511,517.3,1041.5,1049.9,1531.5,1535.4
25,51.7,51.6,95.6,96.3,197.6,196,303.6,301.9,512.3,516.9,1064.3,1050.4,1537.1,1535.5
26,54.4,51.7,95.7,96.3,197.3,196,304.2,302,511.2,516.6,1102.7,1052.3,1532.9,1535.4
27,54.5,51.8,95,96.3,195.5,196,304.3,302,510.8,516.2,1044.2,1052,1534.9,1535.4
28,50.2,51.7,94.7,96.2,193.1,195.9,301.5,302,513.9,515.8,1036.8,1051.5,1538.5,1535.5
29,49.5,51.7,99.1,96.3,195.8,195.9,302.1,302,513.9,516.4,1031.8,1050.9,1533.6,1535.4
30,50.5,51.6,94.5,96.2,198.2,196,303.9,302.1,508.6,517.1,1039.6,1050.5,1536.9,1535.5
31,50,51.6,99.3,96.3,198.4,196,302.7,302.1,508.8,518.2,1040.7,1050.2,1534.5,1535.5
32,58.3,51.8,96.2,96.3,192.9,196,301.1,302.1,509.7,519.5,1045.7,1050.1,1539.2,1535.6
33,49.1,51.7,95.9,96.3,198.8,196,302.9,302.1,520.1,519.8,1040.7,1049.8,1533.6,1535.5
34,52,51.7,97.3,96.3,195.3,196,304.2,302.2,518.3,520.5,1038.1,1049.5,1530.3,1535.4
35,50.6,51.7,97,96.4,193,195.9,302.8,302.2,511.6,521.4,1035.8,1049.1,1542.4,1535.6
36,52.1,51.7,99.8,96.5,194.5,195.9,302.7,302.2,517.6,521.7,1039.7,1048.9,1544.4,1535.8
37,52.1,51.7,97.8,96.5,197.2,195.9,299.2,302.1,519.1,522.7,1038.5,1048.6,1548.1,1536.1
38,48.1,51.6,101.1,96.6,195.2,195.9,299.4,302,518.9,523.3,1042,1048.5,1552.9,1536.5
39,52.1,51.6,99.6,96.7,198.1,196,301.7,302,518.3,524.4,1041.1,1048.3,1543.7,1536.7
40,52.2,51.6,97.7,96.7,198.5,196,302.2,302,517.6,524.8,1036.3,1048,1539.4,1536.8
41,56.8,51.8,100.9,96.8,193.6,196,303.2,302.1,507.4,525.5,1052,1048.1,1536.7,1536.8
42,54.6,51.8,101.7,96.9,195.8,196,303.2,302.1,511.1,526.2,1076,1048.7,1540.9,1536.9
43,54,51.9,101,97,199.6,196,304.1,302.1,516.7,526.1,1036,1048.4,1531.2,1536.7
44,47.8,51.8,100.4,97.1,198.3,196.1,301.5,302.1,507,526.6,1041.2,1048.3,1543.5,1536.9
45,53.1,51.8,101.1,97.2,200.5,196.2,297.9,302,511.8,527.2,1024.4,1047.8,1544.2,1537
46,51.2,51.8,96.1,97.1,196.9,196.2,304.5,302.1,509.9,527,1044.2,1047.7,1541.1,1537.1
47,51.6,51.8,99.3,97.2,197.8,196.2,302.4,302.1,511.4,527.5,1048,1047.7,1545.1,1537.3
48,49.4,51.7,100,97.2,197.3,196.3,303.1,302.1,512.3,528.2,1041.9,1047.6,1538,1537.3
49,50.3,51.7,101.9,97.3,199.6,196.3,304.6,302.2,507.7,528.7,1037,1047.4,1542.2,1537.4
50,48.1,51.6,100.9,97.4,196.6,196.3,300.6,302.1,515.1,528.4,1045.8,1047.3,1545.8,1537.6
51,55.6,51.7,99.8,97.4,198.5,196.4,303.2,302.2,513.5,528.8,1041.6,1047.2,1542.8,1537.7
52,53.7,51.8,100.7,97.5,197.1,196.4,302,302.1,516.4,529.1,1040.3,1047.1,1544.8,1537.8
53,52.7,51.8,102.9,97.6,197,196.4,302.7,302.2,510.7,529.2,1037.4,1046.9,1540.4,1537.8
54,49.8,51.7,95.7,97.6,199.6,196.4,301.6,302.1,511.1,529.3,1033.5,1046.7,1544.8,1538
55,53.9,51.8,99.9,97.6,199.7,196.5,302.7,302.2,518.8,528.9,1041.7,1046.6,1547.8,1538.1
56,50.3,51.8,97,97.6,202,196.6,301.6,302.1,516.1,528.4,1043.2,1046.5,1540.8,1538.2
