x1,y1,val_x1,val_y1,x2,y2,val_x2,val_y2,,x1,y1,val_x1,val_y1,x2,y2,val_x2,val_y2,Sai_lech_tb_x1y1,Sai_lech_tb_x2y2
97.6,519.0906315,94.7,516.95525,217.0808131,1046.911009,218.9218448,1040.331325,,0.98,5.19,0.95,5.17,2.17,10.47,2.19,10.40,0.19,0.50
106.1,521.785529,12.19115023,24.1635236,216.5781606,1028.618759,28.5034715,46.911009,,1.06,5.22,0.12,0.24,2.17,10.29,0.29,0.47,0.23,0.33
104.9,522.2437962,0.013134711,0.01059624,213.1512381,1037.636974,6.372773695,12.54425582,,1.05,5.22,0.00,0.00,2.13,10.38,0.06,0.13,0.23,0.40
96.4,505.0886221,,,227.0719412,1017.065044,,,,0.96,5.05,,,2.27,10.17,,,0.06,0.32
108.3,493.2980053,,,228.4006179,1017.945102,,,,1.08,4.93,,,2.28,10.18,,,0.11,0.34
106.6,498.7401339,,,226.6839867,1031.792507,,,,1.07,4.99,sai lệch tb,,2.27,10.32,sai lệch tb,,0.07,0.42
91.6,499.750433,,,225.0288122,1015.474887,,,,0.92,5.00,0.13,,2.25,10.15,0.31,,0.08,0.29
97.1,524.1296692,,,225.0005213,1032.642304,,,,0.97,5.24,sai lệch max,,2.25,10.33,sai lệch max,,0.24,0.41
96.7,509.8998144,,,206.7602988,1034.108264,,,,0.97,5.10,0.26,,2.07,10.34,0.50,,0.10,0.35
91.2,504.659705,,,215.4355052,1018.178638,,,,0.91,5.05,0.00,,2.15,10.18,0.15,,0.10,0.24
96.9,513.7485509,,,216.6942481,1017.193238,,,,0.97,5.14,,,2.17,10.17,,,0.14,0.24
105.9,501.787985,,,215.7393839,1037.913026,,,,1.06,5.02,,,2.16,10.38,,,0.06,0.41
102.5,510.4095175,,,226.8135593,1014.628305,,,,1.03,5.10,,,2.27,10.15,,,0.11,0.31
93.8,501.7386823,,,228.236293,1036.200115,,,,0.94,5.02,,,2.28,10.36,,,0.06,0.46
102.3,495.5314611,,,217.0595934,1032.217038,,,,1.02,4.96,,,2.17,10.32,,,0.05,0.36
108.7,500.4267968,,,219.9596172,1025.78031,,,,1.09,5.00,,,2.20,10.26,,,0.09,0.33
90.3,493.926405,,,208.3139107,1034.081196,,,,0.90,4.94,,,2.08,10.34,,,0.11,0.35
109.1,514.4601192,,,222.1724242,1034.976049,,,,1.09,5.14,,,2.22,10.35,,,0.17,0.41
97.3,508.5948485,,,220.0903495,1021.334922,,,,0.97,5.09,,,2.20,10.21,,,0.09,0.29
109.9,508.7564511,,,224.3585322,1023.820883,,,,1.10,5.09,,,2.24,10.24,,,0.13,0.34
88.5,501.3220355,,,220.1092026,1024.964509,,,,0.89,5.01,,,2.20,10.25,,,0.12,0.32
102.9,494.4285669,,,224.5884517,1027.436298,,,,1.03,4.94,,,2.25,10.27,,,0.06,0.37
91.2,512.0126292,,,226.8772051,1034.370047,,,,0.91,5.12,,,2.27,10.34,,,0.15,0.44
104.9,513.3707615,,,218.2526937,1017.686278,,,,1.05,5.13,,,2.18,10.18,,,0.14,0.25
110.2,518.6503398,,,210.3837898,1030.030555,,,,1.10,5.19,,,2.10,10.30,,,0.21,0.32
109.9,519.7385434,,,218.1936419,1013.170291,,,,1.10,5.20,,,2.18,10.13,,,0.22,0.22
110.1,518.3060649,,,208.4091901,1025.915867,,,,1.10,5.18,,,2.08,10.26,,,0.21,0.27
112.1,504.3072337,,,224.0726831,1026.740695,,,,1.12,5.04,,,2.24,10.27,,,0.13,0.36
92.5,513.4618683,,,223.1938263,1021.875695,,,,0.93,5.13,,,2.23,10.22,,,0.15,0.32
88.4,518.7130557,,,224.0478398,1016.920701,,,,0.88,5.19,,,2.24,10.17,,,0.22,0.29
99.4,501.3532324,,,221.5924902,1034.201772,,,,0.99,5.01,,,2.22,10.34,,,0.01,0.40
99.2,499.8563568,,,207.9230378,1036.659659,,,,0.99,5.00,,,2.08,10.37,,,0.01,0.38
105.4,496.8224855,,,219.9644559,1015.952172,,,,1.05,4.97,,,2.20,10.16,,,0.06,0.26
