x1,y1,val_x1,val_y1,x1_kalman,y1_kalman,x2,y2,val_x2,val_y2,x2_kalman,y2_kalman,Sai_lech_tb_x1y1,Sai_lech_tb_x2y2,sai_lech_kalman_x1y1,sai_lech_kalman_x1y2
0.98,5.19,0.95,5.17,0.98,5.19,2.17,10.47,2.19,10.4,2.17,10.47,0.19,0.5,0.191049732,0.49979996
1.06,5.22,0.12,0.24,1,5.2,2.17,10.29,0.29,0.47,2.17,10.43,0.23,0.33,0.2,0.462385121
1.05,5.22,0,0,1.01,5.2,2.13,10.38,0.06,0.13,2.16,10.42,0.23,0.4,0.200249844,0.449444101
0.96,5.05,,,1,5.18,2.27,10.17,,,2.18,10.38,0.06,0.32,0.18,0.420475921
1.08,4.93,sl thô,,1.01,5.14,2.28,10.18,sl thô,,2.19,10.35,0.11,0.34,0.140356688,0.398246155
1.07,4.99,sai lệch tb,,1.02,5.12,2.27,10.32,sai lệch tb,,2.2,10.34,0.07,0.42,0.121655251,0.394461658
0.92,5,0.13,,1.01,5.11,2.25,10.15,0.31,,2.21,10.32,0.08,0.29,0.11045361,0.382753184
0.97,5.24,sai lệch max,,1.01,5.12,2.25,10.33,sai lệch max,,2.21,10.32,0.24,0.41,0.120415946,0.382753184
0.97,5.1,0.26,,1,5.12,2.07,10.34,0.5,,2.2,10.32,0.1,0.35,0.12,0.377359245
0.91,5.05,0,,0.99,5.11,2.15,10.18,0.15,,2.2,10.31,0.1,0.24,0.11045361,0.368917335
0.97,5.14,sl kalman,,0.99,5.12,2.17,10.17,sl kalman,,2.19,10.3,0.14,0.24,0.120415946,0.355105618
1.06,5.02,1.003525,,1,5.11,2.16,10.38,2.176275,,2.19,10.31,0.06,0.41,0.11,0.363593179
1.03,5.1,5.084125,,1,5.11,2.27,10.15,10.26675,,2.2,10.3,0.11,0.31,0.11,0.360555128
0.94,5.02,,,1,5.1,2.28,10.36,,,2.2,10.3,0.06,0.46,0.1,0.360555128
1.02,4.96,sl_tb,,1,5.09,2.17,10.32,sl_tb,,2.2,10.3,0.05,0.36,0.09,0.360555128
1.09,5,0.084347664,,1,5.09,2.2,10.26,0.319852629,,2.2,10.3,0.09,0.33,0.09,0.360555128
0.9,4.94,sl max,,1,5.08,2.08,10.34,sl max,,2.19,10.3,0.11,0.35,0.08,0.355105618
1.09,5.14,0.200249844,,1,5.08,2.22,10.35,0.49979996,,2.2,10.3,0.17,0.41,0.08,0.360555128
0.97,5.09,0.07,,1,5.08,2.2,10.21,0.302324329,,2.2,10.3,0.09,0.29,0.08,0.360555128
1.1,5.09,,,1,5.08,2.24,10.24,,,2.2,10.3,0.13,0.34,0.08,0.360555128
0.89,5.01,,,1,5.08,2.2,10.25,,,2.2,10.29,0.12,0.32,0.08,0.352278299
