d(mm),d_rea(mm),d_mea(mm),d(mm),d_rea(mm),d_mea(mm),d(mm),d_rea(mm),d_mea(mm),d(mm),d_rea(mm),d_mea(mm),d(mm),d_rea(mm),d_mea(mm),,52.7,53.13290793
213.5,200,274.0498361,892.6,800,835.1445614,1025.9,1000,1070.28524,1071.3,1100,1136.980222,2659.9,2400,2570.095506,,48.4,
219.2,,351.4,855.6,,990.1,1054.3,,1183.3,1134,,1260.3,2522.4,,2698.1,,55.6,
205,,166,844.1,,573.3,1074.8,,798.1,1114.6,,1035.8,2670,,2354.8,,50.5,
206.3,,,869.3,,,1061.2,,,1097.2,,,2542.8,,,,58.6,
211.6,,,831.7,,,1042.9,,,1110.4,,,2589.5,,,,55.1,
205.6,,,862.1,,,1108.3,,,1219.4,,,2647.1,,,,53.4,
195.2,,,882.9,,,1104.4,,,1162,,,2620.7,,,,50.8,
237.1,,,857.4,,,1108.9,,,1218.2,,,2604.4,,,,55.5,
249.5,,,835.5,,,1138.3,,,1190.4,,,2634.9,,,,53.6,
216.5,,,868.9,,,1063.4,,,1126.5,,,2625.9,,,,54,
246.9,,,830.2,,,883.3,,,1065.1,,,2645.1,,,,50.5,
262.9,,,853.3,,,958,,,1035.8,,,2563.8,,,,50.6,
274.3,,,857.4,,,897.1,,,1093.2,,,2526.7,,,,50.4,
337.3,,,871.3,,,1024.6,,,1154,,,2619.7,,,,57.1,
351.4,,,875.7,,,1041.3,,,1089,,,2645.7,,,,52.4,
314.5,,,817.9,,,1031.3,,,1082.2,,,2648,,,,50.3,
320.2,,,828.8,,,1039.8,,,1179,,,2660.9,,,,50.2,
350.2,,,872,,,1081.2,,,1128.7,,,2672.2,,,,51.6,
332.8,,,900,,,1103.1,,,1164.8,,,2679.4,,,,52.9,
319,,,849.6,,,1089.3,,,1143.4,,,2622.6,,,,56.4,
297.4,,,866.3,,,1103.8,,,1191.1,,,2598.2,,,,52.8,
271,,,849.1,,,1025.6,,,1187.6,,,2639.2,,,,48.7,
294.2,,,839.8,,,921.2,,,1105.2,,,2582.2,,,,52.9,
210,,,825.3,,,845,,,1152.8,,,2580.5,,,,56.2,
256.8,,,861.8,,,886.5,,,1162.4,,,2621.2,,,,56.6,
217.7,,,853.9,,,1005.7,,,1163.3,,,2597.4,,,,52.9,
215.1,,,863.3,,,896.5,,,1149.3,,,2612.3,,,,51.4,
259.9,,,825.3,,,883.3,,,1133.4,,,2541.5,,,,49,
307.6,,,858.3,,,887.7,,,1125.6,,,2523.1,,,,49.8,
303.3,,,854,,,1043.5,,,1193.2,,,2613.9,,,,54.8,
280.8,,,887.8,,,969.1,,,1134.8,,,2615.6,,,,50.2,
277.7,,,828.9,,,1172,,,1077.3,,,2574,,,,52.2,
302.1,,,831,,,1149.7,,,1061.7,,,2524.8,,,,51.2,
297.2,,,839.1,,,1050.4,,,1064.9,,,2637.1,,,,55.6,
286.3,,,847.1,,,1150.9,,,1056.5,,,2698.1,,,,52.1,
301.7,,,814.3,,,1078.5,,,1118.9,,,2688.5,,,,51.8,
309.5,,,838.3,,,922.2,,,1131.6,,,2694.8,,,,53,
321.5,,,822.3,,,874.1,,,1119.5,,,2666,,,,50.7,
349.4,,,844.2,,,798.1,,,1168.3,,,2677.3,,,,47.4,
306.9,,,851.6,,,935,,,1169.2,,,2674,,,,57,
288.4,,,869.3,,,848.2,,,1122.7,,,2689.1,,,,53.7,
268.2,,,843.3,,,897.4,,,1194.7,,,2676.6,,,,57.2,
278.5,,,840.2,,,903.5,,,1128.4,,,2585.8,,,,51.6,
250.7,,,845.9,,,875.6,,,1076.5,,,2618.9,,,,50.5,
286.7,,,815.1,,,875.3,,,1088.4,,,2560.4,,,,48.4,
