NLoS,d_real(cm),d_mea(cm),NLoS,d_real(cm),d_mea(cm),LoS,LoS,LoS
122.9,100,114.9769904,549.9,500,534.9368329,94.3,511,522.1
117.1,,179.8,545.2,,587.8,94.2,532.1,517.6
113.9,,90.3,545.6,,496.6,97.4,503.8,537.8
111.4,,,539.8,,,97.8,549.3,515.6
112.3,,,543,,,95.8,506.2,510.8
110.7,,,542.3,,,95.5,522.1,512.9
126.2,,,537.9,,,91.8,526,519.9
120.4,,,541.2,,,95.8,513.2,519.5
117.2,,,541.9,,,98.4,522.6,513.9
122.4,,,540.5,,,97,521.3,512
120.4,,,541.2,,,96,520.1,520.9
115.7,,,540.5,,,96.8,554.8,513.3
111.2,,,523.5,,,97.2,505,516.5
114,,,538,,,97.2,520.9,506.7
118.3,,,538.1,,,100.2,528.5,511.7
117.6,,,535.1,,,99.7,500,509.3
119.8,,,530.6,,,98.2,507.7,512.5
120.9,,,539.3,,,99.4,513.6,517.2
121.1,,,538,,,94.9,509.3,508.8
120.4,,,540.1,,,92.5,501.1,516.6
117,,,544.2,,,96.5,505.6,528.2
116,,,539.4,,,100.4,518.1,518.3
117.8,,,546.4,,,94.6,526.1,503.9
123.4,,,545.2,,,94.8,509.4,517.9
119.1,,,539.6,,,95.6,506,518.2
117.7,,,538.7,,,95.7,509.4,534.7
115.2,,,548.6,,,95,503.9,507.8
114.3,,,540.7,,,94.7,506.2,511.6
117,,,543.9,,,99.1,533.2,515.1
117.9,,,545.2,,,94.5,538.8,515.1
116.1,,,539.7,,,99.3,552,506.6
117.3,,,546.1,,,96.2,562.7,510.9
111.5,,,543.6,,,95.9,531.8,518
113.7,,,546.7,,,97.3,544.9,511.1
115.5,,,546.7,,,97,554.2,517
113.4,,,539,,,99.8,532.1,511.5
111.2,,,543.5,,,97.8,560.4,516.4
115.8,,,546.6,,,101.1,546.1,517.7
110.3,,,545,,,99.6,568,516.4
113.1,,,546.3,,,97.7,540.3,522.2
112.6,,,544,,,100.9,557.8,518.5
110.7,,,540.8,,,101.7,554.4,516.9
112.8,,,539,,,101,523.3,513.3
115,,,533.2,,,100.4,547.5,512.1
125.8,,,534.9,,,101.1,553.4,509
121.5,,,552.6,,,96.1,520.4,519
119.7,,,550.3,,,99.3,552.6,515.6
116.7,,,549,,,100,562.2,511.5
127.6,,,551.8,,,101.9,550.4,511.7
124.5,,,547.1,,,100.9,515.8,512.9
120.7,,,551.2,,,99.8,549.9,515.5
124.1,,,543.9,,,100.7,545.5,514.3
124,,,538.7,,,102.9,535.1,516.4
122.8,,,529.1,,,95.7,533.7,512.3
124.8,,,543.4,,,99.9,503.7,512.6
122.6,,,543.9,,,97,500.3,512.7
119.7,,,544,,,97,533.5,515.1
118.2,,,531.7,,,99.1,564.4,517.1
118.2,,,539.8,,,101.2,528.8,511.6
118.8,,,528.7,,,94.6,553.4,514.4
120.3,,,544.7,,,98.2,567.1,519.9
117.6,,,536.7,,,99.5,527.8,508.3
115.7,,,548.8,,,96.5,545.8,515.8
115.1,,,542.9,,,99.9,552.3,511.1
120,,,547.9,,,95.9,532.2,522.9
117.4,,,547.6,,,99.4,541,509.6
114.1,,,545.6,,,97.4,539.9,510.5
113.4,,,549.5,,,98.3,548.5,521.3
111.3,,,550.3,,,97.1,533.1,511.1
105.6,,,549.5,,,97.9,552.2,513.6
106.1,,,549.6,,,97.5,525.8,517.9
104.4,,,548.1,,,102.7,553.2,514.6
102.4,,,550.9,,,100.4,547.5,510
104.2,,,547.8,,,100.7,528.3,509.9
103.2,,,538.2,,,92.7,523.7,505.7
