d1(cm),d_real(cm),d_mea(cm),d2(cm),d_real(cm),d_mea(cm),d3(cm),d_real(cm),d_mea(cm),d4(cm),d_real(cm),d_mea(cm),d5(cm),d_real(cm),d_mea(cm),d6(cm),d_real(cm),d_mea(cm),d7(cm),d_real(cm),d_mea(cm)
56.4,50,52.50943396,94.3,100,96.85974235,192.6,200,198.6363777,300.1,300,302.9545349,511,500,518.6154616,1037.7,1000m,1042.868203,1535.2,1500m,1540.809535
57.3,,60.4,94.2,,107.9,195.3,,207.5,302.7,,309.4,532.1,,588,1046.3,,1102.7,1558.4,,1574
56.4,,51.7,97.4,,87.3,194.5,,190.8,300.7,,294.8,503.8,,499.6,1038.4,,1024.4,1529.5,,1522.2
58.6,,,97.8,,,193.3,,,303.4,,,549.3,,,1067.8,,,1524,,
55.4,,,95.8,,,196.7,,,300,,,506.2,,,1098.7,,,1522.2,,
57,,,95.5,,,204.3,,,301.3,,,522.1,,,1064.9,,,1535.8,,
57.2,,,91.8,,,194.9,,,304.3,,,526,,,1070.1,,,1532.7,,
55.9,,,95.8,,,200.9,,,301.9,,,513.2,,,1037,,,1534.3,,
58.4,,,98.4,,,199.4,,,298.6,,,522.6,,,1035.5,,,1533.1,,
56.6,,,97,,,199.3,,,304.7,,,521.3,,,1070.9,,,1538.5,,
58.7,,,96,,,196.6,,,301.6,,,520.1,,,1102.6,,,1539.3,,
56.4,,,96.8,,,197.6,,,302.9,,,554.8,,,1041.6,,,1535.2,,
54.6,,,97.2,,,194.7,,,301.3,,,505,,,1040.6,,,1531.5,,
55.4,,,97.2,,,195.7,,,301.4,,,520.9,,,1046.6,,,1536.9,,
56.4,,,100.2,,,193.8,,,302.8,,,528.5,,,1038.5,,,1533.7,,
55.5,,,99.7,,,197.4,,,301.5,,,500,,,1040,,,1536.4,,
52.5,,,98.2,,,192.3,,,301.8,,,507.7,,,1047.3,,,1535.1,,
49.9,,,99.4,,,196,,,299.5,,,513.6,,,1031.9,,,1538.5,,
52.5,,,94.9,,,195.3,,,299.5,,,509.3,,,1040.3,,,1538.5,,
55.3,,,92.5,,,197.6,,,304.9,,,501.1,,,1040.2,,,1538.8,,
