,x,y,x_kalman,y_kalman,sai số ,,sai số kalman,
1,0.97,0.02,0.97,0.02,0.03,0.047511962,0.03,0.026937799
2,1,0.02,0.98,0.02,0,0.17,0.02,0.11
3,1.05,0.1,1.01,0.05,0.05,0,0.01,0
4,1,0.09,1.01,0.07,0,,0.01,
5,1.03,0.21,1.02,0.13,0.03,,0.02,
6,1.03,0.2,1.02,0.16,0.03,,0.02,
7,1.04,0.13,1.03,0.15,0.04,,0.03,
8,1.06,0.3,1.04,0.21,0.06,,0.04,
9,1.08,0.31,1.06,0.26,0.08,,0.06,
10,1,0.38,1.03,0.31,0,,0.03,
11,0.97,0.49,1.01,0.39,0.03,,0.01,
12,1.01,0.48,1.01,0.43,0.01,,0.01,
13,1.06,0.36,1.03,0.4,0.06,,0.03,
14,1.07,0.51,1.05,0.45,0.07,,0.05,
15,0.96,0.64,1.01,0.53,0.04,,0.01,
16,1.03,0.65,1.02,0.58,0.03,,0.02,
17,0.98,0.77,1,0.66,0.02,,0,
18,1.03,0.6,1.01,0.64,0.03,,0.01,
19,1.05,0.81,1.03,0.71,0.05,,0.03,
20,1.05,0.94,1.04,0.81,0.05,,0.04,
21,1.06,0.99,1.05,0.89,0.06,,0.05,
22,1.04,0.96,1.04,0.92,0.04,,0.04,
23,0.98,0.79,1.02,0.86,0.02,,0.02,
24,1.02,0.99,1.02,0.92,0.02,,0.02,
25,1.06,1.22,1.04,1.05,0.06,,0.04,
26,0.97,1.14,1.01,1.09,0.03,,0.01,
27,1.02,0.98,1.01,1.04,0.02,,0.01,
28,1.04,1.32,1.02,1.16,0.04,,0.02,
29,1,1.42,1.01,1.27,0,,0.01,
30,1.01,1.47,1.01,1.36,0.01,,0.01,
31,1.06,1.51,1.03,1.42,0.06,,0.03,
32,1.07,1.5,1.05,1.46,0.07,,0.05,
33,1.03,1.51,1.04,1.48,0.03,,0.04,
34,0.97,1.64,1.01,1.55,0.03,,0.01,
35,1.03,1.65,1.02,1.59,0.03,,0.02,
36,1.02,1.49,1.02,1.55,0.02,,0.02,
37,1.02,1.77,1.02,1.64,0.02,,0.02,
38,1,1.75,1.01,1.69,0,,0.01,
39,1.01,1.8,1.01,1.74,0.01,,0.01,
40,1.06,1.77,1.03,1.75,0.06,,0.03,
41,1,1.94,1.02,1.83,0,,0.02,
42,0.99,2.02,1.01,1.91,0.01,,0.01,
43,1.05,1.95,1.03,1.93,0.05,,0.03,
44,1.01,1.98,1.02,1.95,0.01,,0.02,
45,0.97,2.08,1,2.01,0.03,,0,
46,1,2.26,1,2.12,0,,0,
47,1.02,2.31,1.01,2.2,0.02,,0.01,
48,0.98,2.36,1,2.27,0.02,,0,
49,1.02,2.32,1.01,2.29,0.02,,0.01,
50,1.02,2.21,1.01,2.26,0.02,,0.01,
51,1,2.47,1.01,2.35,0,,0.01,
52,1.08,2.51,1.04,2.42,0.08,,0.04,
53,0.93,2.49,0.99,2.45,0.07,,0.01,
54,0.93,2.51,0.96,2.48,0.07,,0.04,
55,0.98,2.52,0.97,2.5,0.02,,0.03,
56,0.96,2.68,0.97,2.58,0.04,,0.03,
57,0.97,2.61,0.97,2.59,0.03,,0.03,
58,1,2.7,0.98,2.64,0,,0.02,
59,1.02,2.92,1,2.76,0.02,,0,
60,1.06,2.87,1.03,2.81,0.06,,0.03,
61,1.02,3,1.02,2.89,0.02,,0.02,
